elder_speech,english
gvaern,mistress
gvalch'ca,falcon
gwent,wind
gwynt,wind
gwennelen,alabaster
gwyd,sycamore maple
gwynbleidd,White wolf
gynvael,ice
hael,greeting
hael,health
haela,drug
haela,medicine
hanse,gang
hanse,armed group of friends
hanse,unit
hav'caaren,hawker
hav'caaren,hawkers
hen,oldest
hen,old
herba,herb
het,it
het,that
holl,all
ichaer,blood
imbaelk,sprouting
inis,island
invaerne,winter
kelpie,kelpie
laeke,lake
loc,lake
laith,lady
lara,seagull
ledwedd,painting
lionors,lioness
llamas,maturing
llings,language
llinge,tongue
loa'then,hate
loc'h,lake
Loc'hlaith,Lady of the Lake
luned,daughter
luned,young girl
marw,dies
marw,die
me,me
me,my
me,mine
meáth,meet
mid,middle
mid,in the middle of
milva,kite
mire,observe
mire,observe
mistle,waxwing
minne,love
modron,mother
morc,book
morc,tome
muire,sea
na,or
naev'ed,nine of
neén,no
neén,note
nell'ea,am I wrong
ninnau,wedd
ninnau,us
ninnau,ourselves
nolla,earth
n'og,young
n'te,do not
oiach,you all
pavienn,ape
pest,pestilence
pest,plague
pest,blight
pherian,halfling
pherian,hobbit
pont,bridge
que,that
que,what
raenn,run
rhena,queen
rhenawedd,queen's daughter
rhenawedd,queen's son
rhenawedd,princess 
rhenawedd,prince 
rhon,king
rhoun,king
Roethainne,Redanian
ruadhri,riders
ruadhri,horsemen
salah,to pray
saov,spirit
saov,soul
saov,ghost
savaed,one eighth of the year in the elven calendar
scoia'tael,squirrel
seidh,hill
seidh,mound
seidhe,of hills
seidhe,hill's
shaent,sing
sidh,elf
sledd,sleigh
sor'ca,little sister
spar,shoot
spar'le,fire
spar'le,attack
squaess,excuse
squaess,to forgive
stráede,road
stráede,path
sh'aente,to sing
taedh,bard
taedh,poet
te,you
tearde,later
tearth,fear
tedd,time
tedd,age
tedd,season
thaesse,shut up
thevynn,heather
thu,you
tir,land
tir,ground
tir,country
tirth,wild boar
tor,tower
torc'h,power
treise,strength
treise,vigour
treise,power
tuathe,whisper
tvedeane,twelve
tvedeane,dozen
twe,two
ui,and
uniade,union
uniade,uniting
uniade,joining
uniade,merger
va,go
va,went
va'en,trip
va'en,journey
vaer'trouv,to hope
vaer'trouv,to trust
va fáill,goodbye
va fáill,farewell
vara,wares
vara,goods
varh'he,bitch
vatt'ghern,witcher
veloë,fast
veloë,quick
veloë,quickly
vhóel,death
voe'rle,stop
voe'rle,halt
vond,door
vort,further
vort,away
vort,still
vyverne,wyvern
wedd,child
weddin,child
weddin,kiddo
wen,white
woechin,glyph
woechina,glyphs
woed,wood
woéd,wood
woedd,wood
woed,forest
woéd,forest
woedd,forest
y,of
yeá,yes
yeá,true
yeá,so
yghern,giant centipede
ymladda,combat
ymladda,fight
yn,on
yn,over
yn,upon
yn,one
ys,downward
ys,from below
ysgarthiad,shit
ysgarthiad,excretion
zael,to rise
zireael,swallow
zuirseime,Chaos
zvaere,swear
'ere,here
